数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
住户部门实物交易资金来源增加值(亿元),176879.16,180928.64,167734.57,156800.41,144991.52,145475.09,132941.36,112270.34
住户部门实物交易资金来源劳动者报酬(亿元),424279.36,386563.58,357075.81,328347.37,298966.09,256563.94,222423.84,190869.47
住户部门实物交易资金来源财产收入(亿元),30627.82,27251.54,24908.81,24508.76,21824.44,24336.56,18853.23,12956.68
住户部门实物交易资金来源利息(亿元),22713.84,19739.62,19534.11,20255.44,18429.33,20474.78,15913.56,10245.99
住户部门实物交易资金来源红利(亿元),2610.58,2525.71,2314.62,1980.92,1719.39,1710.93,1110.76,1065.32
住户部门实物交易资金来源其他财产收入(亿元),5303.40,4986.20,3060.08,2272.39,1675.72,2150.86,1828.91,1645.37
住户部门实物交易资金来源初次分配总收入(亿元),496672.42,453841.98,417991.95,387473.11,353759.88,319462.37,284282.94,241864.51
住户部门实物交易资金来源经常转移(亿元),67471.52,61326.73,55779.75,49171.60,44180.27,37959.68,33307.54,27044.00
住户部门实物交易资金来源社会保险福利(亿元),48652.99,43604.85,39117.66,33680.57,28743.93,23930.70,20363.89,16207.24
住户部门实物交易资金来源社会补助(亿元),13490.52,12564.69,11687.57,10672.21,10090.96,8708.28,7588.85,6137.51
住户部门实物交易资金来源其他经常转移(亿元),5328.01,5157.19,4974.52,4818.82,5345.39,5320.70,5354.81,4699.24
住户部门实物交易资金来源可支配总收入(亿元),498528.08,459534.74,422629.21,391109.95,357113.36,321399.16,285772.58,243121.74
住户部门实物交易资金来源总储蓄(亿元),180564.08,166091.64,156649.11,148569.95,137350.86,130814.56,116815.98,102363.14
数据来源：国家统计局
