数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
政府部门实物交易资金来源增加值(亿元),71373.18,62150.53,55791.38,47757.34,42559.67,39051.99,40363.25,36155.69
政府部门实物交易资金来源生产税净额(亿元),93844.28,86545.41,79668.71,78643.11,73536.41,68866.03,62270.81,52672.59
政府部门实物交易资金来源财产收入(亿元),22180.83,22236.23,23450.73,19498.08,15777.15,14622.25,10922.63,7140.08
政府部门实物交易资金来源利息(亿元),7752.04,7259.50,7987.23,8057.40,5633.76,6228.38,4135.38,2201.96
政府部门实物交易资金来源红利(亿元),6555.51,8054.47,8483.30,4224.00,3463.51,2104.22,2391.01,1465.81
政府部门实物交易资金来源地租(亿元),7821.99,6877.39,6743.01,5869.43,5127.92,4411.21,3075.52,2428.68
政府部门实物交易资金来源其他财产收入(亿元),51.28,44.88,237.19,1347.26,1551.97,1878.44,1320.72,1043.64
政府部门实物交易资金来源初次分配总收入(亿元),115071.56,107124.82,102617.78,98266.40,88745.04,80975.88,72066.93,59926.74
政府部门实物交易资金来源经常转移(亿元),106386.85,92399.96,85718.49,76135.58,68085.33,60006.48,52325.84,40526.88
政府部门实物交易资金来源收入税(亿元),44128.66,39004.54,36025.32,32362.83,29030.36,25818.16,22823.75,17680.81
政府部门实物交易资金来源社会保险缴款(亿元),58437.57,50112.47,46354.08,40438.81,35993.58,31411.03,27217.58,20584.50
政府部门实物交易资金来源其他经常转移(亿元),3820.62,3282.95,3339.09,3333.93,3061.38,2777.29,2284.50,2261.57
政府部门实物交易资金来源可支配总收入(亿元),147131.23,132368.52,127186.14,121574.23,110375.99,101301.11,90203.21,74116.25
政府部门实物交易资金来源总储蓄(亿元),27943.23,25901.52,30899.74,35801.23,29130.09,29892.11,27048.31,20759.85
政府部门实物交易资金来源资本转移(亿元),15.40,21.01,3863.92,4033.79,3857.90,3006.19,2425.63,1604.28
政府部门实物交易资金来源其他资本转移(亿元),15.40,21.01,3863.92,4033.79,3857.90,3006.19,2425.63,1604.28
数据来源：国家统计局
