数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
政府部门实物交易资金运用劳动者报酬(亿元),62200.42,53966.94,48215.86,41014.08,37081.87,33604.98,34400.02,30784.83
政府部门实物交易资金运用生产税净额(亿元),369.98,342.35,318.65,304.99,286.13,261.89,300.84,256.80
政府部门实物交易资金运用财产收入(亿元),9756.34,9498.06,7758.53,6313.07,5760.19,7697.53,6788.89,5000.00
政府部门实物交易资金运用利息(亿元),7778.53,7802.55,7748.73,6313.07,5760.19,6850.58,6156.00,4621.57
政府部门实物交易资金运用其他财产收入(亿元),1977.81,1695.51,9.80,,,846.95,632.89,378.43
政府部门实物交易资金运用经常转移(亿元),74327.19,67156.27,61150.14,52827.74,46454.37,39681.25,34189.55,26337.36
政府部门实物交易资金运用社会保险缴款(亿元),12351.76,11088.60,10244.17,8446.73,7425.76,6349.42,5416.38,3244.90
政府部门实物交易资金运用社会保险福利(亿元),48652.99,43604.85,39117.66,33680.57,28743.93,23930.70,20363.89,16207.24
政府部门实物交易资金运用社会补助(亿元),13105.69,12230.06,11396.59,10419.18,9899.64,8541.91,7444.18,6011.70
政府部门实物交易资金运用其他经常转移(亿元),216.74,232.76,391.73,281.27,385.05,859.22,965.11,873.51
政府部门实物交易资金运用最终消费(亿元),119188.00,106467.00,96286.40,85773.00,81245.90,71409.00,63154.90,53356.40
政府部门实物交易资金运用政府消费(亿元),119188.00,106467.00,96286.40,85773.00,81245.90,71409.00,63154.90,53356.40
政府部门实物交易资金运用资本转移(亿元),9906.67,9045.82,8762.86,8283.13,7793.58,6640.07,6230.70,5187.05
政府部门实物交易资金运用投资性补助(亿元),9884.90,9002.04,8750.60,8161.88,7707.34,6622.54,6219.44,5174.52
政府部门实物交易资金运用其他资本转移(亿元),21.76,43.79,12.27,121.25,86.23,17.53,11.25,12.53
政府部门实物交易资金运用资本形成总额(亿元),53434.08,47513.25,37759.32,33577.30,28262.61,26122.43,23868.36,22900.04
政府部门实物交易资金运用固定资本形成总额(亿元),52219.38,46592.70,37370.19,33142.44,27879.79,25744.16,23433.57,22557.06
政府部门实物交易资金运用存货增加(亿元),1214.70,920.55,389.13,434.86,382.82,378.27,434.79,342.98
政府部门实物交易资金运用其他非金融资产获得减处置(亿元),-14345.99,-10234.82,-5749.51,-6444.08,-7461.69,-6317.99,-9033.19,-11799.53
政府部门实物交易资金运用净金融投资(亿元),-21036.12,-20401.72,-6009.02,4418.68,4393.49,6453.79,8408.07,6076.57
数据来源：国家统计局
