数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
国内实物交易资金运用劳动者报酬(亿元),423268.03,385191.67,355373.30,326764.90,297970.31,255599.54,221458.24,190044.90
国内实物交易资金运用生产税净额(亿元),93844.28,86545.41,79668.71,78643.11,73536.41,68866.03,62270.81,52672.59
国内实物交易资金运用财产收入(亿元),137503.67,130754.11,129214.52,120664.73,109564.83,120552.51,98930.21,68687.31
国内实物交易资金运用利息(亿元),95353.56,90973.88,92949.78,91312.93,79947.46,96298.19,76005.14,49529.94
国内实物交易资金运用红利(亿元),28885.34,27761.35,26135.33,19759.99,21184.40,15749.33,16638.00,13980.65
国内实物交易资金运用地租(亿元),7821.99,6877.39,6743.01,5869.43,5127.92,4411.21,3075.52,2428.68
国内实物交易资金运用其他财产收入(亿元),5442.78,5141.49,3386.40,3722.38,3305.05,4093.78,3211.55,2748.04
国内实物交易资金运用经常转移(亿元),182278.20,161390.11,148393.91,131117.76,118367.49,102614.21,88431.20,68724.12
国内实物交易资金运用收入税(亿元),44128.66,39004.54,36025.32,32362.83,29030.36,25818.16,22823.75,17680.81
国内实物交易资金运用社会保险缴款(亿元),58437.57,50112.47,46354.08,40438.81,35993.58,31411.03,27217.58,20584.50
国内实物交易资金运用社会保险福利(亿元),48652.99,43604.85,39117.66,33680.57,28743.93,23930.70,20363.89,16207.24
国内实物交易资金运用社会补助(亿元),13490.52,12564.69,11687.57,10672.21,10090.96,8708.28,7588.85,6137.51
国内实物交易资金运用其他经常转移(亿元),17568.46,16103.56,15209.28,13963.33,14508.65,12746.04,10437.13,8114.05
国内实物交易资金运用最终消费(亿元),437152.00,399910.10,362266.50,328313.00,301008.40,261993.60,232111.50,194115.00
国内实物交易资金运用居民消费(亿元),317964.00,293443.10,265980.10,242540.00,219762.50,190584.60,168956.60,140758.60
国内实物交易资金运用政府消费(亿元),119188.00,106467.00,96286.40,85773.00,81245.90,71409.00,63154.90,53356.40
国内实物交易资金运用资本转移(亿元),9906.67,9045.82,12595.04,12197.81,11374.99,9359.13,8293.31,6465.35
国内实物交易资金运用投资性补助(亿元),9884.90,9002.04,8750.60,8161.88,7707.34,6622.54,6219.44,5174.52
国内实物交易资金运用其他资本转移(亿元),21.76,43.79,3844.44,4035.94,3667.65,2736.59,2073.86,1290.83
国内实物交易资金运用资本形成总额(亿元),363955.00,329137.60,312835.70,302717.40,274176.70,252773.24,228344.30,193603.90
国内实物交易资金运用固定资本形成总额(亿元),349369.00,318083.60,301503.00,290053.00,263027.90,241756.84,215682.00,183615.20
国内实物交易资金运用存货增加(亿元),14586.00,11054.00,11332.70,12664.40,11148.80,11016.40,12662.30,9988.70
国内实物交易资金运用净金融投资(亿元),18182.55,10891.39,10573.14,13846.73,7662.05,3934.31,10041.41,15108.26
数据来源：国家统计局
