数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
非金融企业部门实物交易资金来源增加值(亿元),507106.97,439384.59,407653.52,392751.11,359277.10,306220.34,274841.15,232106.17
非金融企业部门实物交易资金来源财产收入(亿元),27913.02,24849.68,24602.69,26991.19,23497.63,24761.54,21175.55,16296.29
非金融企业部门实物交易资金来源利息(亿元),20614.77,20020.19,20403.27,22932.71,21041.50,22839.47,19571.90,14839.26
非金融企业部门实物交易资金来源红利(亿元),7180.55,4696.14,4068.79,3955.75,2378.76,1857.61,1541.73,1398.00
非金融企业部门实物交易资金来源其他财产收入(亿元),117.70,133.35,130.63,102.73,77.36,64.47,61.92,59.03
非金融企业部门实物交易资金来源初次分配总收入(亿元),167271.59,142007.61,135612.56,137142.34,120826.03,97023.47,94853.93,83385.82
非金融企业部门实物交易资金来源经常转移(亿元),1337.63,1587.03,1254.14,1233.19,1287.20,1161.58,1069.76,949.73
非金融企业部门实物交易资金来源其他经常转移(亿元),1337.63,1587.03,1254.14,1233.19,1287.20,1161.58,1069.76,949.73
非金融企业部门实物交易资金来源可支配总收入(亿元),138998.67,118441.71,113178.22,116262.29,100204.35,78875.93,78990.47,72069.17
非金融企业部门实物交易资金来源总储蓄(亿元),138998.67,118441.71,113178.22,116262.29,100204.35,78875.93,78990.47,72069.17
非金融企业部门实物交易资金来源资本转移(亿元),9884.90,9002.04,8750.60,8161.88,7707.34,6622.54,6219.44,5174.52
非金融企业部门实物交易资金来源投资性补助(亿元),9884.90,9002.04,8750.60,8161.88,7707.34,6622.54,6219.44,5174.52
数据来源：国家统计局
