数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
住户部门实物交易资金运用劳动者报酬(亿元),118993.44,126551.73,117323.05,109675.08,101415.27,93667.82,80385.47,68530.97
住户部门实物交易资金运用生产税净额(亿元),4998.52,4390.34,4188.00,3148.27,2950.56,1992.02,1220.45,1015.22
住户部门实物交易资金运用财产收入(亿元),11121.95,9959.71,10216.20,9360.08,7656.33,11253.37,8329.57,4685.79
住户部门实物交易资金运用利息(亿元),11091.96,9927.93,10170.86,9301.49,7598.54,11202.28,8287.25,4659.19
住户部门实物交易资金运用地租(亿元),29.99,31.78,45.34,58.59,57.80,51.08,42.32,26.60
住户部门实物交易资金运用经常转移(亿元),65615.86,55633.96,51142.49,45534.75,40826.80,36022.90,31817.90,25786.77
住户部门实物交易资金运用收入税(亿元),12011.37,10153.18,8891.45,7720.64,6603.18,6163.63,6054.11,4837.27
住户部门实物交易资金运用社会保险缴款(亿元),46085.81,39023.87,36109.92,31992.09,28567.82,25061.60,21801.20,17339.60
住户部门实物交易资金运用其他经常转移(亿元),7518.68,6456.91,6141.13,5822.02,5655.80,4797.67,3962.58,3609.90
住户部门实物交易资金运用最终消费(亿元),317964.00,293443.10,265980.10,242540.00,219762.50,190584.60,168956.60,140758.60
住户部门实物交易资金运用居民消费(亿元),317964.00,293443.10,265980.10,242540.00,219762.50,190584.60,168956.60,140758.60
住户部门实物交易资金运用资本转移(亿元),,,95.60,98.69,384.61,57.29,57.29,
住户部门实物交易资金运用其他资本转移(亿元),,,95.60,98.69,384.61,57.29,57.29,
住户部门实物交易资金运用资本形成总额(亿元),51028.89,52671.41,73716.90,76607.94,72634.39,62772.00,56995.32,40613.21
住户部门实物交易资金运用固定资本形成总额(亿元),49787.33,51730.50,70935.26,73499.44,69897.90,60068.00,53887.33,38161.37
住户部门实物交易资金运用存货增加(亿元),1241.56,940.92,2781.63,3108.50,2736.50,2704.00,3107.99,2451.84
住户部门实物交易资金运用其他非金融资产获得减处置(亿元),-26755.33,-19087.96,-15596.06,-17480.15,-23371.64,-14451.83,-14593.00,-9889.50
住户部门实物交易资金运用净金融投资(亿元),156290.52,132508.19,98432.67,89343.48,87703.49,82437.09,74356.37,71639.43
数据来源：国家统计局
