数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
非金融企业部门实物交易资金运用劳动者报酬(亿元),220487.22,185224.53,172402.99,162388.21,147383.07,119076.02,98610.21,84068.10
非金融企业部门实物交易资金运用生产税净额(亿元),82449.74,74999.31,67736.72,69823.03,65701.32,63208.78,57843.21,48936.74
非金融企业部门实物交易资金运用财产收入(亿元),64811.43,62002.81,56503.94,50388.73,48864.32,51673.61,44709.34,32011.79
非金融企业部门实物交易资金运用利息(亿元),30988.75,29289.27,25830.97,25099.39,22246.61,30116.02,23905.59,15766.02
非金融企业部门实物交易资金运用红利(亿元),26026.35,25860.33,23789.41,18131.23,19995.62,15319.02,16449.82,12800.06
非金融企业部门实物交易资金运用地租(亿元),7791.99,6845.61,6697.68,5810.84,5070.12,4360.13,3033.21,2402.08
非金融企业部门实物交易资金运用其他财产收入(亿元),4.34,7.60,185.89,1347.26,1551.97,1878.44,1320.72,1043.64
非金融企业部门实物交易资金运用经常转移(亿元),29610.55,25152.94,23688.48,22113.24,21908.88,19309.12,16933.22,12266.37
非金融企业部门实物交易资金运用收入税(亿元),24182.29,20131.62,18741.10,17627.41,16537.04,14751.56,13367.05,10193.88
非金融企业部门实物交易资金运用社会补助(亿元),384.83,334.63,290.98,253.03,191.33,166.37,144.67,125.81
非金融企业部门实物交易资金运用其他经常转移(亿元),5043.44,4686.69,4656.40,4232.80,5180.51,4391.19,3421.51,1946.68
非金融企业部门实物交易资金运用资本转移(亿元),,,3736.57,3816.00,3196.80,2661.77,2005.32,1278.30
非金融企业部门实物交易资金运用其他资本转移(亿元),,,3736.57,3816.00,3196.80,2661.77,2005.32,1278.30
非金融企业部门实物交易资金运用资本形成总额(亿元),258780.11,228317.68,200717.85,191859.08,172643.31,163348.13,147080.40,129794.42
非金融企业部门实物交易资金运用固定资本形成总额(亿元),246650.35,219125.17,192556.02,182738.16,164613.93,155414.11,137961.00,122600.54
非金融企业部门实物交易资金运用存货增加(亿元),12129.76,9192.50,8161.82,9120.91,8029.38,7934.02,9119.40,7193.87
非金融企业部门实物交易资金运用其他非金融资产获得减处置(亿元),41101.31,29322.78,21345.58,23924.24,30833.33,20769.81,23626.19,21689.03
非金融企业部门实物交易资金运用净金融投资(亿元),-150997.85,-130196.71,-103871.18,-95175.15,-98761.74,-101281.24,-87501.99,-75518.05
数据来源：国家统计局
