数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
金融机构部门实物交易资金运用劳动者报酬(亿元),21586.94,19448.47,17431.39,13687.52,12090.10,9250.72,8062.53,6661.00
金融机构部门实物交易资金运用生产税净额(亿元),6026.05,6813.40,7425.34,5366.82,4598.40,3403.34,2906.30,2463.83
金融机构部门实物交易资金运用财产收入(亿元),54482.55,50834.71,54735.86,54602.86,47283.99,49928.00,40060.04,26989.73
金融机构部门实物交易资金运用利息(亿元),48162.92,45495.31,49199.22,50598.98,44342.13,48129.30,37656.29,24483.16
金融机构部门实物交易资金运用红利(亿元),2858.99,1901.02,2345.92,1628.75,1188.79,430.31,1145.82,1180.59
金融机构部门实物交易资金运用其他财产收入(亿元),3460.64,3438.38,3190.71,2375.13,1753.08,1368.38,1257.93,1325.97
金融机构部门实物交易资金运用经常转移(亿元),12724.60,13446.94,12412.81,10642.02,9177.45,7600.94,5490.52,4333.62
金融机构部门实物交易资金运用收入税(亿元),7935.00,8719.74,8392.78,7014.78,5890.15,4902.97,3402.59,2649.66
金融机构部门实物交易资金运用其他经常转移(亿元),4789.60,4727.20,4020.03,3627.24,3287.30,2697.97,2087.93,1683.96
金融机构部门实物交易资金运用资本形成总额(亿元),711.94,635.23,641.52,672.96,636.28,530.57,400.09,296.23
金融机构部门实物交易资金运用固定资本形成总额(亿元),711.94,635.23,641.52,672.96,636.28,530.57,400.09,296.23
金融机构部门实物交易资金运用净金融投资(亿元),33925.99,28981.66,22020.78,15259.85,14326.92,16324.78,14779.09,12910.32
数据来源：国家统计局
