数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
实物交易资金来源净出口(亿元),-14578.44,-16975.60,-22346.49,-16151.57,-14552.10,-14632.40,-12163.30,-15097.60
实物交易资金来源增加值(亿元),,,,,588018.76,519470.10,473104.05,401512.80
实物交易资金来源劳动者报酬(亿元),424735.60,386976.20,357432.03,328602.76,299072.28,256676.81,222528.35,190967.99
实物交易资金来源生产税净额(亿元),93844.28,86545.41,79668.71,78643.11,73536.41,68866.03,62270.81,52672.59
实物交易资金来源财产收入(亿元),155446.27,143956.46,141032.66,133533.25,119873.93,130019.45,107178.04,77405.64
实物交易资金来源利息(亿元),106068.67,99442.81,100647.83,100225.70,87877.79,103907.53,82711.25,56850.28
实物交易资金来源红利(亿元),36065.89,32457.49,30204.11,23715.73,23563.17,17606.93,18179.73,15378.65
实物交易资金来源地租(亿元),7821.99,6877.39,6743.01,5869.43,5127.92,4411.21,3075.52,2428.68
实物交易资金来源其他财产收入(亿元),5489.73,5178.77,3437.70,3722.38,3305.05,4093.78,3211.55,2748.04
实物交易资金来源初次分配总收入(亿元),,,,,,,,399759.54
实物交易资金来源经常转移(亿元),184180.56,163440.07,150630.30,133642.99,121659.73,105843.87,44438.86,72076.41
实物交易资金来源收入税(亿元),44128.66,39004.54,36025.32,32362.83,29030.36,25818.16,22823.75,17680.81
实物交易资金来源社会保险缴款(亿元),58437.57,50112.47,46354.08,40438.81,35993.58,31411.03,,20584.50
实物交易资金来源社会保险福利(亿元),48652.99,43604.85,39117.66,33680.57,28743.93,23930.70,,16207.24
实物交易资金来源社会补助(亿元),13490.52,12564.69,11687.57,10672.21,10090.96,8708.28,7588.85,6137.51
实物交易资金来源其他经常转移(亿元),19470.82,18153.52,17445.67,16488.57,17800.90,15975.70,14026.27,11466.34
实物交易资金来源可支配总收入(亿元),819295.91,739961.86,685655.86,644879.28,582656.91,518431.55,470145.44,402513.71
实物交易资金来源总储蓄(亿元),369023.84,326699.79,304439.10,299509.48,272458.26,242844.10,228829.25,192300.20
实物交易资金来源资本转移(亿元),9922.07,9066.83,12626.79,12316.92,11651.48,9646.26,8656.33,6791.33
实物交易资金来源投资性补助(亿元),9884.90,9002.04,8750.60,8161.88,7707.34,6622.54,6219.44,5174.52
实物交易资金来源其他资本转移(亿元),37.17,64.80,3876.19,4155.04,3944.13,3023.72,2436.88,1616.80
数据来源：国家统计局
