数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
实物交易资金运用劳动者报酬(亿元),424735.60,386976.20,357432.03,328602.76,299072.28,256676.81,222528.35,190967.99
实物交易资金运用生产税净额(亿元),93844.28,86545.41,79668.71,78643.11,73536.41,68866.03,62270.81,52672.59
实物交易资金运用财产收入(亿元),155446.27,143956.46,141032.66,133533.25,119873.93,130019.45,107178.04,77405.64
实物交易资金运用利息(亿元),106068.67,99442.81,100647.83,100225.70,87877.79,103907.53,82711.25,56850.28
实物交易资金运用红利(亿元),36065.89,32457.49,30204.11,23715.73,23563.17,17606.93,18179.73,15378.65
实物交易资金运用地租(亿元),7821.99,6877.39,6743.01,5869.43,5127.92,4411.21,3075.52,2428.68
实物交易资金运用其他财产收入(亿元),5489.73,5178.77,3437.70,3722.38,3305.05,4093.78,3211.55,2748.04
实物交易资金运用经常转移(亿元),184180.56,163440.07,150630.30,133642.99,121659.73,105843.87,44438.86,72076.41
实物交易资金运用收入税(亿元),44128.66,39004.54,36025.32,32362.83,29030.36,25818.16,22823.75,17680.81
实物交易资金运用社会保险缴款(亿元),58437.57,50112.47,46354.08,40438.81,35993.58,31411.03,,20584.50
实物交易资金运用社会保险福利(亿元),48652.99,43604.85,39117.66,33680.57,28743.93,23930.70,,16207.24
实物交易资金运用社会补助(亿元),13490.52,12564.69,11687.57,10672.21,10090.96,8708.28,7588.85,6137.51
实物交易资金运用其他经常转移(亿元),19470.82,18153.52,17445.67,16488.57,17800.90,15975.70,14026.27,11466.34
实物交易资金运用最终消费(亿元),437152.00,399910.10,362266.50,328313.00,301008.40,261993.60,232111.50,194115.00
实物交易资金运用居民消费(亿元),317964.00,293443.10,265980.10,242540.00,219762.50,190584.60,168956.60,140758.60
实物交易资金运用政府消费(亿元),119188.00,106467.00,96286.40,85773.00,81245.90,71409.00,63154.90,53356.40
实物交易资金运用资本转移(亿元),9922.07,9066.83,12626.79,12316.92,11651.48,9646.26,8656.33,6791.33
实物交易资金运用投资性补助(亿元),9884.90,9002.04,8750.60,8161.88,7707.34,6622.54,6219.44,5174.52
实物交易资金运用其他资本转移(亿元),37.17,64.80,3876.19,4155.04,3944.13,3023.72,2436.88,1616.80
实物交易资金运用资本形成总额(亿元),363955.00,329137.60,312835.70,302717.40,274176.70,252773.24,228344.30,193603.90
实物交易资金运用固定资本形成总额(亿元),349369.00,318083.60,301503.00,290053.00,263027.90,241756.84,215682.00,183615.20
实物交易资金运用存货增加(亿元),14586.00,11054.00,11332.70,12664.40,11148.80,11016.40,12662.30,9988.70
实物交易资金运用净金融投资(亿元),5068.84,-2437.81,-8396.60,-3207.92,-1718.44,-9929.14,484.95,-1303.70
数据来源：国家统计局
