指标名称,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
资金流量表:实物交易:来源:财产收入:住户部门,1191.37,1800.25,2774.07,2971.04,3689.34,3376.75,3607.49,3049.52,3065.2,2943.72,2983,3211.95,3768.38,4481.43,7246.37,9828.88,11791.93,11359.06,12956.68,18853.23,24336.56,21824.44,24508.76,24908.81,27251.54,30627.82,39900.12066
资金流量表:实物交易:来源:财产收入:国内合计,4581.45,6657.81,9999.5,9970.34,12120.3,10788.68,13232.3,11078.47,11906.83,11581.86,12499.61,13886.01,16305.49,20441.07,32338.09,42506.55,56576.31,55484.72,66109.49,93422.93,118332.8,103747,119899.3,124909.6,126395.4,135837.6,149086.9598
资金流量表:实物交易:来源:财产收入:国外部门,294.83,326.87,583.83,1416.71,1642.47,1583.12,1823.39,2320.2,2196.84,2293.66,1849.01,2085.22,2011.83,4388.23,4573.95,5546.26,5588.78,7837.33,11296.15,13755.11,11686.7,16126.91,13633.94,16123.11,17561.07,19608.69,20617.0674
资金流量表:实物交易:来源:财产收入:利息:合计,4868.39,6956.91,10513.82,10512.32,12712.5,10422.03,13584.46,11842.74,10510.09,10089.87,10037.08,11557.62,13186.32,15451.94,24986.86,31292.06,43538.17,41421.26,56850.28,82711.25,103907.5,87877.79,100225.7,100647.8,99442.81,106068.7,121067.964
资金流量表:实物交易:来源:财产收入:利息:非金融企业部门,935.29,1368.46,1939.48,1863.34,2196.06,2025.18,2568.86,1977.61,1778.59,1726.34,1723.39,1918.62,2241.54,2545.9,4198.73,5838.25,8315.88,8001.57,14839.26,19571.9,22839.47,21041.5,22932.71,20403.27,20020.19,20614.77,21073.65837
资金流量表:实物交易:来源:财产收入:利息:金融机构部门,2373.25,3361.34,5087.93,4966.2,6044.33,4969.32,6774.21,5790.95,5492.71,5326.61,5313.75,6193.34,6989.04,8248.99,13242.27,16543.08,23463.7,22645.27,29170.44,42808.74,53860.04,41887.08,47897.36,51058.62,52735.87,56198.23,58942.63883
资金流量表:实物交易:来源:财产收入:利息:政府部门,79.58,124.23,189.47,159.03,175.07,146.32,249.8,170,369.57,378.89,415.06,562.9,724.83,923.64,1463.23,1653.9,1893.47,1706.65,2201.96,4135.38,6228.38,5633.76,8057.4,7987.23,7259.5,7752.044,7243.892736
资金流量表:实物交易:来源:财产收入:利息:住户部门,1186.66,1789.26,2747.59,2938.19,3625.58,3281.21,3527.96,2911.88,2869.23,2658.03,2584.88,2882.75,3230.91,3733.41,6082.63,7256.83,9798.44,9067.75,10245.99,15913.56,20474.78,18429.33,20255.44,19534.11,19739.62,22713.84,31552.84762
资金流量表:实物交易:来源:财产收入:利息:国内合计,4574.78,6643.29,9964.47,9926.76,12041.04,10422.03,13120.83,10850.44,10510.09,10089.87,10037.08,11557.62,13186.32,15451.94,24986.86,31292.06,43471.5,41421.26,56457.65,82429.58,103402.7,86991.67,99142.91,98983.23,98213.99,104610.3,118813.0376
资金流量表:实物交易:来源:财产收入:利息:国外部门,293.61,313.62,549.36,585.56,671.45,,463.63,992.3,,515.13,,,,,,,66.67,,392.63,281.67,504.87,886.12,1082.79,1664.6,1228.83,1458.389,2254.926413
资金流量表:实物交易:来源:财产收入:红利:合计,4.22,22.78,65.4,869.77,1016.64,1899.71,1441,1506.93,3398.24,3583.54,4085.2,4095.2,4763.41,8677.65,10164.41,13407.87,15231.38,17865,15378.65,18179.73,17606.93,23563.17,23715.73,30204.11,32457.49,36065.89,35379.64917
资金流量表:实物交易:来源:财产收入:红利:非金融企业部门,0,0,0.09,0.08,0.58,248.74,7.29,1.49,1022.32,752.56,1276.71,1682.6,2249.13,3656.75,4786.55,6778.17,6983.35,6765.52,1398,1541.73,1857.61,2378.76,3955.75,4068.79,4696.14,7180.551,6475.125136
资金流量表:实物交易:来源:财产收入:红利:金融机构部门,0.6,1.91,6.17,7.71,9.01,13.57,14.79,78.9,31.7,54.84,,,,,,,395.77,404.63,546,620.44,752.36,760.72,1003.92,888.71,863.26,1586.291,967.084811
资金流量表:实物交易:来源:财产收入:红利:政府部门,0,0,0,0,0,0,,,20.6,263.12,618.9,78.08,99.84,191.95,329.74,271.04,1598.62,2064.86,1465.81,2391.01,2104.22,3463.51,4224,8483.3,8054.47,6555.511,6522.878911
资金流量表:实物交易:来源:财产收入:红利:住户部门,2.4,7.62,24.67,30.83,36.04,54.28,59.16,98.64,126.78,219.36,340.58,249.3,402.61,440.72,474.17,812.4,731.54,792.67,1065.32,1110.76,1710.93,1719.39,1980.92,2314.62,2525.71,2610.582,3072.36238
资金流量表:实物交易:来源:财产收入:红利:国内合计,3.01,9.53,30.93,38.63,45.63,316.59,81.24,179.03,1201.4,1289.88,2236.19,2009.98,2751.58,4289.42,5590.47,7861.6,9709.27,10027.68,4475.13,4706.28,6425.11,8322.39,11164.58,15755.41,16139.58,17932.93,17037.45124
资金流量表:实物交易:来源:财产收入:红利:国外部门,1.21,13.25,34.47,831.15,971.02,1583.12,1359.76,1327.9,2196.84,2293.66,1849.01,2085.22,2011.83,4388.23,4573.95,5546.26,5522.11,7837.33,10903.52,13473.44,11181.82,15240.78,12551.15,14448.71,16317.91,18132.95,18342.19793
资金流量表:实物交易:来源:财产收入:地租:合计,,,,,,,,,84.17,92.84,110.53,126.15,175.1,306.06,579.86,965.66,1337.06,1733.81,2428.68,3075.52,4411.21,5127.92,5869.43,6743.01,6877.39,7821.988,7691.436976
资金流量表:实物交易:来源:财产收入:地租:政府部门,,,,,,,,,84.17,92.84,110.53,126.15,175.1,306.06,579.86,965.66,1337.06,1733.81,2428.68,3075.52,4411.21,5127.92,5869.43,6743.01,6877.39,7821.988,7691.436976
资金流量表:实物交易:来源:财产收入:地租:国内合计,,,,,,,,,84.17,92.84,110.53,126.15,175.1,306.06,579.86,965.66,1337.06,1733.81,2428.68,3075.52,4411.21,5127.92,5869.43,6743.01,6877.39,7821.988,7691.436976
资金流量表:实物交易:来源:财产收入:其他:合计,3.66,4.99,4.11,4.95,33.63,50.06,30.23,49,111.17,109.27,115.81,192.26,192.49,393.65,1180.9,2387.23,2058.48,2301.98,2748.04,3211.55,4093.78,3305.05,3722.38,3437.7,5178.77,5489.728,5564.977059
资金流量表:实物交易:来源:财产收入:其他:非金融企业部门,1.36,1.63,2.31,2.93,5.91,8.8,9.86,10,16.15,23.75,19.68,31.7,4.2,11.86,27.1,79.75,79.53,55.8,59.03,61.92,64.47,77.36,102.73,130.63,133.35,117.7003,130.390492
资金流量表:实物交易:来源:财产收入:其他:政府部门,,,,,,,,,25.83,19.19,38.59,80.66,53.42,74.49,464.23,547.83,717.01,747.55,1043.64,1320.72,1878.44,1551.97,1347.26,237.19,44.88,51.28305,139.732852
资金流量表:实物交易:来源:财产收入:其他:住户部门,2.31,3.36,1.8,2.02,27.72,41.26,20.37,39,69.19,66.33,57.54,79.9,134.87,307.3,689.57,1759.65,1261.94,1498.63,1645.37,1828.91,2150.86,1675.72,2272.39,3060.08,4986.2,5303.397,5274.910659
资金流量表:实物交易:来源:财产收入:其他:国内合计,3.66,4.99,4.11,4.95,33.63,50.06,30.23,49,111.17,109.27,115.81,192.26,192.49,393.65,1180.9,2387.23,2058.48,2301.98,2748.04,3211.55,4093.78,3305.05,3722.38,3427.9,5164.43,5472.381,5545.034003
资金流量表:实物交易:来源:初次分配总收入:合计,26651.83,34560.48,46670.12,57494.88,66850.56,73142.02,76967.31,80579.22,98000.53,108068.2,119095.7,134977,159453.6,183617.4,215904.4,266422,316030.3,340320,399759.5,,,,,,,,914327.1017
资金流量表:实物交易:来源:初次分配总收入:非金融企业部门,4463.5,6384.35,8479.23,10869.02,10741.42,12820.39,12882.79,14005.23,18529.92,21617.68,23666.49,27132.28,36979.34,41532.18,48192.56,61525.47,74609.24,73275.18,83385.82,94853.93,97023.47,120826,137142.3,135612.6,142007.6,167271.6,204713.6346
资金流量表:实物交易:来源:初次分配总收入:金融机构部门,617.14,738.73,689.28,696.1,781.05,430.55,606.53,558.54,794.4,1504.54,2027.7,2944.75,3071.9,3494.24,5223.88,6824.39,9476.51,10894.4,14582.48,17358.58,20753.02,19865.78,21909.25,30227.35,37624.27,41083.96,33269.0282
资金流量表:实物交易:来源:初次分配总收入:政府部门,4138.27,5814.99,7588.4,8705.35,10381.47,11829.72,12982.84,13654.71,12865.2,13697.28,16599.95,18387.52,21912.66,26073.94,31372.99,39266.86,46549.14,49606.34,59926.74,72066.93,80975.88,88745.04,98266.4,102617.8,107124.8,115071.6,116897.966
资金流量表:实物交易:来源:初次分配总收入:住户部门,17432.93,21622.42,29913.22,37224.41,44946.63,48061.36,50495.15,52360.74,65811,71248.72,76801.57,86512.46,97489.67,112517.1,131114.9,158805.3,185395.4,206544,241864.5,284282.9,319462.4,353759.9,387473.1,417992,453842,496672.4,559446.4729
资金流量表:实物交易:来源:初次分配总收入:国内合计,26651.83,34560.48,46670.12,57494.88,66850.56,73142.02,76967.31,80579.22,98000.53,108068.2,119095.7,134977,159453.6,183617.4,215904.4,266422,316030.3,340320,399759.5,468562.4,518214.7,583196.7,644791.1,686449.6,740598.7,820099.5,914327.1017
资金流量表:实物交易:来源:经常转移:合计,3226.34,3807.53,4562.42,5386.85,6652.37,8333.35,8815.95,9201.33,9535.09,12191.45,14767.64,17808.37,21946.84,26652.68,32611.69,41729.29,53136.85,59725.54,72076.41,44438.86,105843.9,121659.7,133643,150630.3,163440.1,184180.6,195400.6335
资金流量表:实物交易:来源:经常转移:非金融企业部门,89.72,114.97,197.39,193.61,214.01,321.8,282.1,275.18,279.2,311.37,390.34,466.02,563.86,632.4,687.99,835.25,1350.97,969.42,949.73,1069.76,1161.58,1287.2,1233.19,1254.14,1587.03,1337.631,1991.085158
资金流量表:实物交易:来源:经常转移:金融机构部门,144.35,259.37,252.79,256.33,318.07,350.7,326.2,317.52,144.29,276.02,446.64,568.47,761.79,885.66,1089.94,1352.94,1506.32,2270.03,2957.68,3311.12,3703.27,4274.87,4665.58,4847.75,5439.57,6278.579,6039.691106
资金流量表:实物交易:来源:经常转移:政府部门,1670.04,1720.68,1936.8,2169.4,2765.35,3294.36,3484.24,4030.46,5115.22,6877.48,8079.7,9618.36,11831.03,14855.7,18643.53,24465.06,30725.16,33521.07,40526.88,52325.84,60006.48,68085.33,76135.58,85718.49,92399.96,106386.9,119041.1863
